icao,name,city,state,country,lat,lon
KP08,Coolidge Municipal Airport,Coolidge,Arizona,US,32.9359016418,-111.4270019531
KP10,Polacca Airport,Polacca,Arizona,US,35.7916984558,-110.422996521
KP13,San Carlos Apache Airport,Globe,Arizona,US,33.353099823,-110.6669998169
KP14,Holbrook Municipal Airport,Holbrook,Arizona,US,34.940700531,-110.138000488
KP19,Stellar Airpark,Chandler,Arizona,US,33.2989006042,-111.9150009155
KP20,Avi Suquilla Airport,Parker,Arizona,US,34.1506004333,-114.2710037231
KP23,Seligman Airport,Seligman,Arizona,US,35.3349990845,-112.8870010376
KP29,Tombstone Municipal Airport,Tombstone,Arizona,US,31.6709003448,-110.0230026245
KP33,Cochise County Airport,Willcox,Arizona,US,32.24539948,-109.8949966
KP34,Mifflintown Airport,Mifflintown,Pennsylvania,US,40.59894444,-77.40566666
KP52,Cottonwood Airport,Cottonwood,Arizona,US,34.7299995422,-112.0350036621
KPAE,Snohomish County (Paine Field) Airport,Everett,Washington,US,47.90629959,-122.2819977
KPAH,Barkley Regional Airport,Paducah,Kentucky,US,37.060798645,-88.7738037109
KPAM,Tyndall Air Force Base,Panama City,Florida,US,30.0695991516,-85.5754013062
KPAN,Payson Airport,Payson,Arizona,US,34.2568016052,-111.3389968872
KPAO,Palo Alto Airport of Santa Clara County,Palo Alto,California,US,37.461101532,-122.1149978638
KPBF,Grider Field,Pine Bluff,Arkansas,US,34.1730995178,-91.9356002808
KPBG,Plattsburgh International Airport,Plattsburgh,New York,US,44.6509017944,-73.4681015015
KPBH,Price County Airport,Phillips,Wisconsin,US,45.7089996338,-90.4024963379
KPBI,Palm Beach International Airport,West Palm Beach,Florida,US,26.6832008362,-80.0955963135
KPBX,Pike County-Hatcher Field,Pikeville,Kentucky,US,37.5617981,-82.56639862
KPCD,Perryville Regional Airport,Perryville,Missouri,US,37.8686667,-89.8621389
KPCM,Plant City Municipal Airport,Plant City,Florida,US,28.00020027,-82.16419983
KPCW,Erie-Ottawa International Airport,Port Clinton,Ohio,US,41.5163002014,-82.8686981201
KPCZ,Waupaca Municipal Airport,Waupaca,Wisconsin,US,44.33330154,-89.01979828
KPDC,Prairie Du Chien Municipal Airport,Prairie Du Chien,Wisconsin,US,43.0192985535,-91.1237030029
KPDK,DeKalb Peachtree Airport,Atlanta,Georgia,US,33.8755989075,-84.3020019531
KPDT,Eastern Oregon Regional At Pendleton Airport,Pendleton,Oregon,US,45.695098877,-118.841003418
KPDX,Portland International Airport,Portland,Oregon,US,45.58869934,-122.5979996
KPEA,Pella Municipal Airport,Pella,Iowa,US,41.400100708,-92.9458999634
KPEO,Penn Yan Airport,Penn Yan,New York,US,42.6371002197,-77.0529022217
KPEQ,Pecos Municipal Airport,Pecos,Texas,US,31.3824005127,-103.5110015869
